ibge;uf;nome_cidade;longitude;latitude;regiao
1101500;RO;Seringueiras;-630.387.609.977;-117.671.166.356;Leste Rondoniense
1101559;RO;Teixeiropolis;-62.255.922.254;-10.932.169.286;Leste Rondoniense
1101609;RO;Theobroma;-623.451.455.299;-10.248.730.552;Leste Rondoniense
1101708;RO;Urupa;-623.706.324.538;-111.285.452.757;Leste Rondoniense
1101757;RO;Vale do Anari;-621.768.234.421;-98.513.927.081;Leste Rondoniense
1101807;RO;Vale do Paraiso;-621.343.903.568;-104.310.526.846;Leste Rondoniense
1200013;AC;Acrelandia;-6.705.231.658;-100.737.938.925;Vale do Acre
1200054;AC;Assis Brasil;-695.634.591.747;-109.428.656.809;Vale do Acre
1200104;AC;Brasileia;-68.747.943.426;-110.164.110.191;Vale do Acre
