ibge;uf;nome_cidade;longitude;latitude;regiao
5003801;MS;Fatima do Sul;-545.163.759.902;-223.754.232.111;Sudoeste de Mato Grosso do Sul
5003900;MS;Figueirao;-536.425.733.239;-186.754.480.708;Centro Norte de Mato Grosso do Sul
5004007;MS;Gloria de Dourados;-542.346.287.899;-22.414.424.531;Sudoeste de Mato Grosso do Sul
5004106;MS;Guia Lopes da Laguna;-561.081.525.022;-214.524.591.422;Sudoeste de Mato Grosso do Sul
5004304;MS;Iguatemi;-545.586.010.866;-236.619.015.645;Sudoeste de Mato Grosso do Sul
5004403;MS;Inocencia;-519.276.790.223;-19.725.457.974;Leste de Mato Grosso do Sul
5004502;MS;Itapora;-547.956.587.373;-220.824.475.602;Sudoeste de Mato Grosso do Sul
5004601;MS;Itaquirai;-541.881.983.027;-234.906.632.623;Sudoeste de Mato Grosso do Sul
5004700;MS;Ivinhema;-538.269.701.471;-223.016.035.627;Sudoeste de Mato Grosso do Sul
5004809;MS;Japora;-544.034.847.429;-238.940.669.515;Sudoeste de Mato Grosso do Sul
5004908;MS;Jaraguari;-544.406.839.539;-201.037.403.917;Centro Norte de Mato Grosso do Sul
5005004;MS;Jardim;-561.458.445.844;-214.796.031.458;Sudoeste de Mato Grosso do Sul
5005103;MS;Jatei;-543.080.543.756;-224.816.870.305;Sudoeste de Mato Grosso do Sul
5005152;MS;Juti;-546.013.228.313;-228.624.718.344;Sudoeste de Mato Grosso do Sul
5005202;MS;Ladario;-576.024.001.955;-19.001.775.668;Pantanais Sul Mato-Grossense
5005251;MS;Laguna Carapa;-551.501.077.345;-225.505.815.145;Sudoeste de Mato Grosso do Sul
5005400;MS;Maracaju;-55.157.139.569;-216.236.103.838;Sudoeste de Mato Grosso do Sul
5005608;MS;Miranda;-563.901.982.861;-20.239.333.499;Pantanais Sul Mato-Grossense
5005681;MS;Mundo Novo;-542.816.614.238;-239.352.736.182;Sudoeste de Mato Grosso do Sul
5005707;MS;Navirai;-541.988.361.701;-230.599.994.825;Sudoeste de Mato Grosso do Sul
5005806;MS;Nioaque;-558.338.899.214;-211.581.523.135;Sudoeste de Mato Grosso do Sul
5006002;MS;Nova Alvorada do Sul;-543.828.036.001;-214.666.342.525;Sudoeste de Mato Grosso do Sul
5006200;MS;Nova Andradina;-533.515.738.149;-222.487.593.128;Leste de Mato Grosso do Sul
5006259;MS;Novo Horizonte do Sul;-53.860.886.557;-226.549.531.056;Sudoeste de Mato Grosso do Sul
5006309;MS;Paranaiba;-511.887.077.084;-196.773.717.332;Leste de Mato Grosso do Sul
5006358;MS;Paranhos;-554.330.304.574;-238.968.696.615;Sudoeste de Mato Grosso do Sul
5006408;MS;Pedro Gomes;-545.524.458.292;-181.018.562.343;Centro Norte de Mato Grosso do Sul
5006606;MS;Ponta Pora;-557.108.501.779;-224.861.870.788;Sudoeste de Mato Grosso do Sul
5006903;MS;Porto Murtinho;-578.884.823.023;-217.073.245.588;Pantanais Sul Mato-Grossense
5007109;MS;Ribas do Rio Pardo;-537.616.776.243;-204.436.755.256;Leste de Mato Grosso do Sul
5220058;GO;Sao Joao da Parauna;-504.050.629.925;-168.145.235.535;Sul Goiano
5220108;GO;Sao Luis de Montes Belos;-503.742.880.027;-165.198.101.598;Centro Goiano
5220157;GO;Sao Luiz do Norte;-493.319.358.806;-148.620.789.113;Centro Goiano
5220207;GO;Sao Miguel do Araguaia;-501.638.382.701;-13.276.024.343;Noroeste Goiano
5220264;GO;Sao Miguel do Passa Quatro;-486.647.175.594;-170.509.343.499;Sul Goiano
5220280;GO;Sao Patricio;-498.163.460.405;-153.524.896.722;Centro Goiano
5220405;GO;Sao Simao;-505.496.997.577;-189.897.385.995;Sul Goiano
